=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.24 16:34:51 =~=~=~=~=~=~=~=~=~=~=~=
Smoothing factor 0.30
X, Y, Z
65, -72, 10
57, -66, 14
55, -59, -71
105, -40, 21
84, -50, 18
142, -4, 62
137, -35, 84
103, -51, 23
74, -35, 44
73, -107, 80
68, -82, 38
49, -68, 3
60, -57, -59
66, -49, -105
50, -43, -108
38, -44, -52
46, -38, -53
-6, -49, -36
-2, -53, 9
18, -35, 9
13, -43, 69
42, -21, 26
49, 19, 63
59, 35, 116
49, 13, 73
55, 43, 140
35, 46, 57
40, 44, 43
49, 11, -5
49, 2, 3
119, -1, 14
70, -40, 36
60, -34, 23
57, -50, 38
77, -62, 58
69, -28, -12
68, -31, 8
55, -23, 43
53, -22, -12
56, -46, -41
54, -50, -38
97, -17, -21
90, -13, -12
68, -18, 66
47, -14, -5
52, 32, -25
28, 3, -57
42, -84, -27
67, -28, 24
69, -33, -16
136, -60, -6
130, -70, -91
103, -34, -32
58, -26, -67
62, -21, -49
113, -7, -67
101, -9, -18
160, -23, 5
108, 6, 2
89, 2, 40
41, -3, 55
69, -25, -32
60, -3, -72
115, 8, -82
86, -8, -103
79, -2, -109
69, -8, -133
60, 9, -172
83, 14, -145
69, -76, -76
64, -91, -119
70, -80, -88
133, -42, 0
83, -41, 40
80, -111, 47
66, -93, 66
69, -60, 48
136, -53, 22
90, -45, -11
82, -2, -45
66, 5, -1
68, 0, -71
57, -15, 3
61, -81, -23
45, -57, -17
72, -58, -33
77, -65, -110
73, -83, -173
70, -69, -151
137, -16, -116
129, -14, -194
52, -13, -121
58, -16, -39
127, 12, 20
113, -21, -57
94, 4, -76
51, -23, -67
53, -14, -75
30, 29, -49
17, 13, -66
25, 1, -72
47, 19, -54
49, 10, 0
45, 34, -12
12, 10, -48
20, -1, 36
19, -6, 20
42, 21, -7
45, 6, 48
52, 12, 43
27, 25, 79
31, 18, -5
22, 13, -53
38, -15, -80
27, 8, 19
38, -33, -15
45, -26, -12
68, -31, -46
68, -33, -52
129, -45, -73
122, -50, -40
89, -44, -87
99, -39, -107
83, -101, -71
80, -79, -147
72, 5, -174
75, 4, -77
63, 7, -29
63, -23, -111
109, -12, -86
99, 0, -83
60, -3, -7
75, 15, 0
78, 6, -66
76, 50, -38
61, 36, -83
52, 26, -145
93, 16, -82
83, -74, -130
31, -43, -120
34, -106, -61
42, -68, -58
35, -60, -106
10, -65, -105
20, -41, -132
0, -2, -71
-7, -8, -109
9, -95, -140
61, -81, -124
54, 4, -51
45, 22, -10
59, 21, -8
47, -73, -2
19, -85, -17
12, -72, -88
-42, -31, -104
-36, -43, -83
70, -55, -115
69, -46, -69
66, -25, -95
80, -62, -47
62, -47, 2
49, -68, -135
69, -51, -40
57, -74, -129
39, -68, -111
56, -64, -139
63, -52, -150
58, -43, -185
60, -59, -105
62, -38, -75
52, -44, 16
44, -46, -46
41, -71, -48
64, -81, -56
63, -64, -97
81, -45, -53
84, -35, -55
74, -44, -63
51, -41, -77
59, -62, -97
56, -27, -62
50, -103, -90
45, -78, -81
63, -50, -114
9, -20, -96
27, -42, -71
27, -18, -47
Smoothing factor 0.60
X, Y, Z
54, -10, -107
14, 29, -32
41, 134, 89
99, 19, 7
-1, 23, -34
42, -149, -315
37, -49, -187
40, 101, -107
125, 17, -252
51, -49, -309
-27, -51, -223
18, -73, -215
15, -41, -219
58, -28, 9
80, 65, -39
42, 38, 23
46, -106, 81
5, -80, -14
33, -193, -86
60, -189, -90
87, -240, -6
52, -100, 99
22, -20, 84
-93, -84, -18
-93, -68, -43
15, -34, -189
27, -48, -184
50, -26, -75
-38, -60, -26
-12, -45, 28
17, -27, -15
15, -29, 66
26, -70, -41
42, 0, -4
36, -22, -10
23, -20, 112
52, -77, -97
47, -58, -81
65, -84, 1
56, -18, -136
56, -65, -111
-4, -30, -46
20, 63, -80
-35, -69, -25
10, -40, -200
47, -124, -76
57, -208, -120
63, -195, -108
72, -97, 44
41, -5, -58
49, -31, -49
173, -101, -247
68, -43, -131
68, 6, -222
53, 15, -73
37, -6, -32
27, -48, -33
26, -42, -2
188, -94, -143
104, -52, -191
72, -41, -70
77, 31, 78
55, -18, 81
154, 6, -27
75, 10, -110
57, -37, -72
30, -46, 75
55, 10, 189
41, 42, 144
62, 10, 34
78, -44, -54
25, -6, -26
46, 22, -162
4, 20, -19
49, -22, -136
34, 49, 131
74, 0, -175
193, -4, -202
57, 0, 16
61, -13, -49
66, -70, -167
66, -30, -68
221, -86, 50
70, -91, 107
84, -51, 144
5, -48, 13
24, -18, -20
-5, 15, 23
17, -36, -62
48, -87, -93
13, 44, -12
54, 5, 147
24, -58, 148
58, -37, -100
64, -63, 0
73, -20, -32
91, -40, 16
149, -31, -122
96, -28, -68
87, -40, -56
45, -47, 41
53, -13, 3
55, 54, 275
50, 2, 178
54, -17, -65
-3, -22, 80
40, -17, -142
49, -1, -46
61, -17, -141
12, 31, -99
25, -8, -70
