=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.30 12:03:54 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 0
X, Y, Z
113, -6, 8283
96, 19, 8284
111, 5, 8299
102, 25, 8308
115, 19, 8277
112, 24, 8330
116, 23, 8345
94, 44, 8329
84, 27, 8330
80, 26, 8288
87, 32, 8277
70, 20, 8285
63, 29, 8300
95, 18, 8383
69, 1, 7916
77, -11, 7983
68, 49, 8597
96, 24, 8466
114, 22, 8261
142, 26, 8250
123, 48, 8389
120, 62, 8350
131, 52, 8341
97, 61, 8381
129, 39, 8211
99, 31, 8223
67, 17, 8314
79, 11, 8266
66, 6, 8335
76, 0, 8342
92, -24, 8301
95, -18, 8296
103, -2, 8278
103, 14, 8282
107, 28, 8293
82, 45, 8307
104, 34, 8305
80, 44, 8330
106, 47, 8308
105, 42, 8326
101, 30, 8294
96, 18, 8306
103, 24, 8288
112, 19, 8307
89, 26, 8317
91, 30, 8324
111, 28, 8312
99, 33, 8307
104, 19, 8316
98, 14, 8317
97, 11, 8276
102, 15, 8295
100, 23, 8308
100, 15, 8301
99, 26, 8304
98, 39, 8317
107, 33, 8322
90, 13, 8282
106, 24, 8269
109, 29, 8275
122, 20, 8299
125, 20, 8309
119, 13, 8303
103, 0, 8289
100, -5, 8299
91, 6, 8305
86, -12, 8306
91, 10, 8307
86, 3, 8296
73, 23, 8284
89, 23, 8302
97, 46, 8293
106, 44, 8301
95, 55, 8285
111, 68, 8302
97, 67, 8313
110, 56, 8310
88, 46, 8322
86, 30, 8289
77, 18, 8285
93, 8, 8289
83, 4, 8322
97, 10, 8314
100, -8, 8284
130, -2, 8340
98, 18, 8331
103, 4, 8258
116, 14, 8263
106, 19, 8346
95, 47, 8317
94, 25, 8333
95, 32, 8285
93, 20, 8285
94, 38, 8316
85, 31, 8317
100, 11, 8319
104, 18, 8299
121, 23, 8283
108, 25, 8291
116, 20, 8310
104, 13, 8302
97, 40, 8278
99, 28, 8300
102, 26, 8318
106, 12, 8319
109, 14, 8318
119, 11, 8302
107, 4, 8318
109, 25, 8306
105, 16, 8298
85, 20, 8298
86, 6, 8271
99, 22, 8322
101, 19, 8344
105, 20, 8295
100, 17, 8310
108, 16, 8301
89, 33, 8295
93, 32, 8315
56, 39, 8310
54, 23, 8328
70, 28, 8289
69, 30, 8282
90, 23, 8289
112, 20, 8308
137, 7, 8297
138, 7, 8296
124, -13, 8298
144, -2, 8307
108, -6, 8315
95, -9, 8297
84, 15, 8308
87, 9, 8307
97, 2, 8325
89, 15, 8323
103, 18, 8295
95, 24, 8289
108, 40, 8276
89, 26, 8261
88, 53, 8316
100, 48, 8313
83, 40, 8347
69, 51, 8302
72, 36, 8280
83, 39, 8258
111, 35, 8313
108, 38, 8319
103, 19, 8285
108, 9, 8296
111, 11, 8303
119, -4, 8312
111, -16, 8304
117, -9, 8271
107, 0, 8317
99, 13, 8291
92, 14, 8314
84, 25, 8313
87, 37, 8297
85, 40, 8290
99, 23, 8289
98, 32, 8278
109, 40, 8398
100, 53, 8327
106, 31, 8394
95, 25, 8326
110, -2, 8251
103, 10, 8309
115, 1, 8295
100, 22, 8285
90, 27, 8284
99, 2, 8303
98, 27, 8295
105, 21, 8313
97, 22, 8308
99, 32, 8303
82, 23, 8304
87, 13, 8303
86, 4, 8289
73, 7, 8278
109, 13, 8310
105, 22, 8324
108, 23, 8301
102, 18, 8289
98, 21, 8291
104, 34, 8304
95, 36, 8302
94, 36, 8304
77, 32, 8318
86, 11, 8307
74, 22, 8296
87, 13, 8277
105, 2, 8308
114, 7, 8303
100, 10, 8294
114, 13, 8309
117, 8, 8289
103, 6, 8308
101, 27, 8289
94, 21, 8284
90, 29, 8289
104, 16, 8263
97, 49, 8402
92, 34, 8313
103, 24, 8231
62, 23, 8261
103, 10, 8315
84, 22, 8339
69, 34, 8297
120, 16, 8291
93, 8, 8298
95, 24, 8282
104, 18, 8322
95, 25, 8304
106, 16, 8290
79, 29, 8302
107, 18, 8294
99, 21, 8299
102, 29, 8287
131, 16, 8308
115, 18, 8312
127, 8, 8318
123, -6, 8318
124, 10, 8315
116, 1, 8301
100, 17, 8279
96, 16, 8295
81, 20, 8300
96, 21, 8271
83, 35, 8335
68, 62, 8310
94, 37, 8340
82, 26, 8293
75, 20, 8295
107, -2, 8302
72, 16, 8301
81, 18, 8282
89, 16, 8279
96, 7, 8302
99, 13, 8302
104, -6, 8302
130, 2, 8308
118, 26, 8296
125, 30, 8301
120, 37, 8314
106, 41, 8312
106, 48, 8289
94, 39, 8296
87, 30, 8310
68, 28, 8299
86, 14, 8303
80, 5, 8290
72, -4, 8306
91, 8, 8308
98, 12, 8302
111, 0, 8305
101, 18, 8300
109, 19, 8299
135, 16, 8310
119, 27, 8325
116, 16, 8302
105, 30, 8313
108, 32, 8301
87, 15, 8299
71, 36, 8302
65, 22, 8288
75, 3, 8292
78, 17, 8306
64, 12, 8286
87, 22, 8308
81, 16, 8324
82, 24, 8278
101, 22, 8353
125, 51, 8381
121, 30, 8305
147, 26, 8288
134, 39, 8267
116, 8, 8282
98, 18, 8304
117, -2, 8310
85, 4, 8297
64, 18, 8269
59, 12, 8258
98, 2, 8288
72, 9, 8379
101, 5, 8322
126, 20, 8247
81, 57, 8258
111, 54, 8300
120, 37, 8304
103, 59, 8338
111, 42, 8315
95, 33, 8283
79, 23, 8282
84, 25, 8291
80, 11, 8310
92, 4, 8310
83, 3, 8276
111, -21, 8298
103, -18, 8277
100, 16, 8304
112, 24, 8281
100, 48, 8287
104, 56, 8309
112, 35, 8304
106, 21, 8294
99, 12, 8301
94, -1, 8300
104, 2, 8298
109, 1, 8306
94, 17, 8305
91, 17, 8298
76, 26, 8310
91, 33, 8310
88, 30, 8301
81, 26, 8302
106, 22, 8309
112, 23, 8290
124, 26, 8313
115, 16, 8310
112, 24, 8273
131, 23, 8305
118, 26, 8322
116, 23, 8334
113, 16, 8250
114, 15, 8258
99, 8, 8283
100, 20, 8328
76, 18, 8329
89, 13, 8323
