=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.30 12:05:07 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 1Exp Smooth Fact: 0.90
X, Y, Z
20, -2, -2
21, -7, -13
9, -12, 17
10, -7, -3
11, 4, 0
-10, -5, -10
8, 4, -14
-11, -2, -1
-8, 4, -13
7, 8, -9
10, -3, 8
8, -17, -4
-3, -6, -3
-12, -21, -7
-13, -3, 7
-5, -1, -15
3, 7, -16
5, 4, 0
15, 14, 13
17, 3, 5
21, 11, -2
12, 5, -11
7, 12, -6
-4, 3, 1
-10, 0, 22
-23, -10, 18
-14, -12, -11
-9, -23, -54
-3, -23, -35
26, -37, -17
17, -23, 19
21, -28, 11
14, 9, -6
-2, 28, -10
17, 24, -9
-6, 31, 6
-5, 31, -9
-4, 26, -11
5, 25, 11
-7, 1, -3
0, -4, -12
12, -15, -6
3, -22, -3
-6, -36, -6
9, -34, 5
-7, -34, -10
5, -37, -16
12, -18, -23
12, -7, -11
17, 9, -8
14, 14, -11
29, 23, -1
4, 23, 18
4, 19, -3
3, 19, 18
0, 14, 5
-16, -6, -4
-29, -17, -21
-15, -26, 3
-20, -4, 4
-16, -13, -18
-7, -12, -13
-11, 1, -2
-3, -12, -11
14, -1, -5
18, 17, -6
27, 8, 3
22, 8, 12
0, 18, 2
4, 9, -7
6, -10, -1
0, -3, -1
14, -15, 1
-12, -11, -10
-13, -14, -17
-16, -20, 0
-1, -12, -1
-16, -6, -9
-3, -2, -7
0, 13, 2
0, 7, -2
10, 3, -3
19, -1, 5
23, 10, 4
11, 6, -2
11, 4, -13
2, 1, -8
10, -7, 6
28, -17, 4
7, -25, -1
16, -26, 3
23, -17, -10
13, -19, -5
7, -5, -20
-3, -4, -12
-8, 4, -7
-12, 6, 6
-24, 17, 0
-9, 23, 7
-22, 26, 9
-9, 25, -7
14, 7, -1
10, 8, -8
21, -9, 12
31, -20, 10
39, -18, 0
32, -20, 5
24, -25, 6
8, -25, 1
-19, -25, -5
1, -1, 4
-25, 10, -5
-18, 10, 0
-9, 9, 2
-18, 18, -8
-5, 26, -4
-3, 21, 30
