=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.04.06 16:37:34 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 0
X, Y, Z
84, -28, 8301
60, -31, 8296
76, -15, 8308
84, -30, 8301
97, -28, 8302
81, -23, 8301
83, -22, 8301
79, -18, 8300
76, -27, 8320
96, -34, 8309
92, -20, 8300
74, -28, 8283
86, -24, 8298
70, -19, 8295
76, -25, 8299
66, -26, 8300
80, -27, 8303
79, -21, 8302
76, -23, 8297
82, -28, 8297
80, -25, 8298
76, -25, 8285
79, -24, 8297
95, -16, 8305
80, -26, 8306
78, -29, 8305
77, -32, 8305
76, -29, 8311
84, -24, 8301
75, -15, 8290
82, -17, 8294
70, -14, 8295
89, -10, 8288
78, -27, 8322
77, -19, 8300
83, -13, 8299
77, -31, 8305
80, -24, 8308
78, -27, 8298
79, -23, 8285
70, -26, 8315
86, -25, 8293
79, -29, 8299
79, -27, 8310
83, -20, 8302
71, -25, 8310
70, -25, 8303
85, -25, 8303
76, -28, 8310
68, -29, 8298
83, -27, 8295
79, -24, 8308
81, -28, 8300
69, -14, 8297
84, -24, 8300
81, -15, 8312
69, -26, 8305
70, -22, 8291
66, -18, 8307
88, -19, 8308
69, -19, 8300
80, -28, 8291
83, -30, 8303
91, -21, 8297
94, -25, 8298
86, -19, 8294
77, -23, 8287
82, -28, 8298
74, -17, 8303
76, -26, 8307
84, -24, 8307
72, -20, 8294
77, -26, 8295
74, -28, 8295
89, -31, 8305
75, -25, 8299
81, -28, 8298
89, -24, 8292
65, -17, 8299
70, -18, 8294
83, -28, 8288
76, -32, 8292
75, -27, 8311
88, -28, 8292
81, -25, 8294
74, -25, 8302
77, -24, 8282
85, -27, 8275
76, -13, 8303
73, -25, 8305
82, -32, 8313
75, -21, 8290
74, -22, 8307
88, -18, 8313
78, -25, 8299
69, -16, 8298
81, -22, 8298
66, -26, 8298
86, -39, 8316
87, -22, 8301
77, -23, 8297
84, -24, 8292
67, -40, 8295
81, -19, 8302
74, -19, 8308
72, -21, 8292
79, -26, 8306
77, -27, 8296
84, -26, 8298
87, -20, 8298
79, -13, 8300
86, -28, 8301
75, -10, 8296
87, -26, 8315
71, -21, 8306
89, -29, 8303
93, -24, 8278
70, -26, 8310
88, -35, 8311
75, -33, 8308
81, -24, 8283
71, -19, 8301
80, -32, 8307
100, -26, 8312
77, -25, 8300
77, -27, 8306
86, -21, 8288
77, -23, 8293
78, -33, 8308
70, -30, 8314
70, -17, 8302
74, -19, 8300
67, -17, 8303
80, -25, 8300
69, -27, 8307
73, -12, 8304
86, -33, 8306
90, -14, 8309
80, -23, 8299
79, -26, 8315
71, -29, 8306
72, -26, 8296
79, -24, 8299
81, -22, 8296
93, -20, 8300
83, -29, 8307
95, -25, 8290
